34; 2016.11.01; 2; БОЛГ.МОВА; доц.ГОНЧАРН.М.
34; 2016.11.01; 3; ОРГАНІЗАЦІЯТУРИЗМУ(Л); викл.МІЩУКЖ.В.
34; 2016.11.01; 4; МАРКЕТИНГВТУРИЗМІ(+2К)(ПР); викл.ШЕВЧЕНКО-ПЕРЕПЬОЛКІНАР.І.
34; 2016.11.02; 1; СОЦІОЛОГІЯ(ПР); доц.ДОЛГОЛЕНКОІ.А.
34; 2016.11.02; 2; ОРГАНІЗАЦІЯГОТЕЛЬНОГОГОСПОДАРСТВА; викл.МІЩУКЖ.В.
34; 2016.11.02; 3; ОРГАНІЗАЦІЯТУРИЗМУ(ПР); викл.ТІРОНО.А.
34; 2016.11.03; 3; АНГЛІЙСЬКАМОВА; доц.ЧУФАРЛІЧЕВАА.Ю.
34; 2016.11.03; 4; МАРКЕТИНГВТУРИЗМІ(+2К); викл.ШЕВЧЕНКО-ПЕРЕПЬОЛКІНАР.І.
34; 2016.11.04; 1; ОРГАНІЗАЦІЯТУРИЗМУ(ПР); викл.ТІРОНО.А.
34; 2016.11.04; 2; МАРКЕТИНГВТУРИЗМІ(+2К)(ПР); викл.ШЕВЧЕНКО-ПЕРЕПЬОЛКІНАР.І.
34; 2016.11.04; 4; ФІЗИЧНАКУЛЬТУРАТАОСНОВИЗДОРОВ`ЯЛЮДИНИ; викл.БОЧАРОВАТ.В.,ВИКЛ.ДОЛЖЕНКОІ.В.
41; 2016.10.31; 3; КОМП`ЮТЕРНАГРАФІКА; викл.ГРЕНДАЧТ.І.
41; 2016.10.31; 4; ТЕОР.ТАМЕТОД.ТЕХН.ОСВІТИТАПРОФОР.РОБ.; проф.КУЛІНЕНКОЛ.Б.
41; 2016.10.31; 5; ІНФОРМАЦІЙНІМАШИНИТАКІБЕРСИСТЕМИ; викл.ВОРОБЙОВЯ.А.
41; 2016.11.01; 3; ІНФОРМАЦІЙНІМАШИНИТАКІБЕРСИСТЕМИ; викл.ВОРОБЙОВЯ.А.
41; 2016.11.01; 4; ТЕОР.ТАМЕТОД.ТЕХН.ОСВІТИТАПРОФОР.РОБ.(ПР); проф.КУЛІНЕНКОЛ.Б.
41; 2016.11.01; 5; РЕЛІГІЄЗНАВСТВО(ПР.); доц.ДОЛГОЛЕНКОІ.А.
41; 2016.11.01; 6; МТЗТП; викл.ТРИШИНВ.В.
41; 2016.11.02; 2; ТЕОР.ТАМЕТОД.ТЕХН.ОСВІТИТАПРОФОР.РОБ.(ПР); проф.КУЛІНЕНКОЛ.Б.
41; 2016.11.02; 3; ПРАКТИКУМЕЛЕКТОРОМОНТАЖНИХРОБІТ; викл.ТРИШИНВ.В.
41; 2016.11.02; 4; ТЕОР.ТАМЕТОД.ТЕХН.ОСВІТИТАПРОФОР.РОБ.; проф.КУЛІНЕНКОЛ.Б.
41; 2016.11.02; 5; ДІС; викл.ДМИТРІЄВАМ.В.
42; 2016.10.31; 2; ПРОГРАМУВАННЯ; викл.КОВАЛЕНКОО.В.
42; 2016.10.31; 3; ОСНОВИМІКРОЕЛЕКТРОНІКИ; викл.КОВАЛЕНКОО.В.
42; 2016.10.31; 4; МЕТОД.НАВЧ.МАТЕМАТИКИ; викл.ЩОГОЛЕВАТ.М.
42; 2016.10.31; 5; МЕТОД.НАВЧ.МАТЕМАТИКИ; викл.ЩОГОЛЕВАТ.М.
42; 2016.11.01; 3; ОСНОВИМІКРОЕЛЕКТРОНІКИ(ПР); викл.КОВАЛЕНКОО.В.
42; 2016.11.01; 4; ІКТ; викл.ДУЩЕНКОО.С.
42; 2016.11.01; 5; РЕЛІГІЄЗНАВСТВО(ПР.); доц.ДОЛГОЛЕНКОІ.А.
42; 2016.11.01; 6; МЕТОДИКАНАВЧАННЯІНФОРМАТИКИ; доц.МІЗЮКВ.А.
42; 2016.11.02; 2; ІСТАБД; викл.КОВАЛЕНКОО.В.
42; 2016.11.02; 3; МЕТОД.НАВЧ.МАТЕМАТИКИ; викл.ЩОГОЛЕВАТ.М.
42; 2016.11.02; 4; МЕТОД.НАВЧ.МАТЕМАТИКИ; викл.ЩОГОЛЕВАТ.М.
42; 2016.11.02; 5; ПРОГРАМУВАННЯ; викл.КОВАЛЕНКОО.В.
43; 2016.10.31; 2; КАПІТАЛПІДПРИЄМСТВА(ПР)СТ.; викл.ЯКОВЕНКОО.І.
43; 2016.10.31; 3; ЕКОНОМІКАІОРГАНІЗАЦІЯІННОВАЦІЙНОЇДІЯЛЬНОСТІ; доц.СОРОКАЛ.М.
43; 2016.10.31; 4; ФІНАНСОВАДІЯЛЬНІСТЬСУБ`ЄКТІВПІДПРИЄМНИЦТВА(ПР.); викл.МЕТІЛЬТ.К.
