Р О З К Л А Д ;Р О З К Л А Д ;Р О З К Л А Д ;Р О З К Л А Д ;Р О З К Л А Д ;Р О З К Л А Д ;Р О З К Л А Д ;;;;;;;;
ЧЕТВЕР            15.09;4;ТОІ та ІКТ                             викл. Дмитрієва М.В.;Математ. аналіз                 викл. Щоголєва Т.М.;;;ППЗ                                викл. Кожухар Ж.В.;;;;;;;;
ЧЕТВЕР            15.09;5;;;;;;;;;;;;;
П'ЯТНИЦЯ        16.09;1;Технологічний практикум                   доц. Букатова О.М.;;Основи наукових досліджень                                  доц.Криворак А.Д.;Основи наукових досліджень                                  доц.Криворак А.Д.;Менеджмент викл.ГилкаУ.Л.;;;;;;;;
П'ЯТНИЦЯ        16.09;2;Технологічний практикум                   доц. Букатова О.М.;;Економіка підприємства доц.Сорока Л.М.;ІКТ                          викл.Дущенко О.С.;ППЗ                                викл. Кожухар Ж.В.;;;;;;;;
П'ЯТНИЦЯ        16.09;3;;Математ. аналіз                 викл. Щоголєва Т.М.;Менеджмент                          викл.Метіль Т.К.;Географія туризму                доц. Тодоров В.І.;Управлінське док-во викл.Башли М.І.;;;;;;;;
П'ЯТНИЦЯ        16.09;4;Європейські абриси                                                       проф.Кічук Н.В.;Європейські абриси                                                       проф.Кічук Н.В.;;;Загальне і кадрове діловодство            викл.Башли М.І.;;;;;;;;
П'ЯТНИЦЯ        16.09;5;;;;;;;;;;;;;
Декан факультету _____________доц. Мізюк В.А.;Декан факультету _____________доц. Мізюк В.А.;Декан факультету _____________доц. Мізюк В.А.;Декан факультету _____________доц. Мізюк В.А.;Декан факультету _____________доц. Мізюк В.А.;Декан факультету _____________доц. Мізюк В.А.;Декан факультету _____________доц. Мізюк В.А.;;;;;;;;
Р О З К Л А Д ;Р О З К Л А Д ;Р О З К Л А Д ;Р О З К Л А Д ;Р О З К Л А Д ;Р О З К Л А Д ;Р О З К Л А Д ;Р О З К Л А Д ;;;;;;;
занять факультету управління, адміністрування та інформаційної діяльності;занять факультету управління, адміністрування та інформаційної діяльності;занять факультету управління, адміністрування та інформаційної діяльності;занять факультету управління, адміністрування та інформаційної діяльності;занять факультету управління, адміністрування та інформаційної діяльності;занять факультету управління, адміністрування та інформаційної діяльності;занять факультету управління, адміністрування та інформаційної діяльності;занять факультету управління, адміністрування та інформаційної діяльності;;;;;;;
Дні;Пари;311 група;312 група;321 група;322 група;33 група;34 група;;;;;;;
Дні;Пари;Тех. (основи підпр.);Тех. (інформатика);Інформатика (англ.);Інформатика (освітні вимір.);Економіка підприємства;Туризм;;;;;;;
